Weight
20.440
20.244
20.549
20.755
20.740
20.847
20.063
20.453
20.719
20.283
20.362
20.162
20.131
20.304
20.345
20.076
20.386
20.419
20.527
20.427
20.435
20.426
20.769
20.483
20.463
20.397
20.894
20.673
20.975
20.369
20.832
20.178
20.608
20.680
20.884
20.483
20.395
20.635
20.424
20.652
20.211
20.331
20.196
20.427
20.494
20.506
20.435
20.939
20.152
20.353
19.984
20.790
20.244
20.369
20.652
20.593
20.675
20.619
20.226
20.277
20.639
20.565
20.312
20.452
20.526
20.612
20.528
20.318
20.877
20.597
20.514
20.666
20.672
20.373
20.315
20.722
20.260
20.188
20.642
20.628
20.941
20.789
20.761
20.523
20.500
20.591
20.495
20.289
20.145
20.666
20.589
20.624
20.543
20.295
20.748
20.438
20.332
20.336
20.414
20.409
